change_order_id,contract_id,account_id,change_type,effective_date,delta_value_usd,notes
CO-700001,CON-070314,ACC-10107,add_skus,2024-09-25,84100.71,Customer added new product SKUs mid-term
CO-700002,CON-070431,ACC-10166,add_skus,2027-10-11,47279.99,Customer added new product SKUs mid-term
CO-700003,CON-070012,ACC-10003,increase_qty,2025-03-26,70849.56,Quantity increase on existing line items
CO-700004,CON-070808,ACC-10339,add_skus,2024-02-19,51271.55,Customer added new product SKUs mid-term
CO-700005,CON-070846,ACC-10354,early_termination_partial,2023-11-02,68149.38,Partial termination of select line items
CO-700006,CON-070867,ACC-10361,add_skus,2023-07-26,204548.43,Customer added new product SKUs mid-term
CO-700007,CON-070754,ACC-10314,tier_upgrade,2023-03-01,28354.46,Support tier upgraded
CO-700008,CON-070968,ACC-10402,increase_qty,2025-07-18,148344.24,Quantity increase on existing line items
CO-700009,CON-071000,ACC-10416,add_skus,2024-09-21,106873.63,Customer added new product SKUs mid-term
CO-700010,CON-070933,ACC-10388,add_skus,2022-10-07,198712.45,Customer added new product SKUs mid-term
CO-700011,CON-070027,ACC-10007,increase_qty,2027-10-20,43733.25,Quantity increase on existing line items
CO-700012,CON-070897,ACC-10373,add_skus,2027-12-19,105476.4,Customer added new product SKUs mid-term
CO-700013,CON-070241,ACC-10072,increase_qty,2024-07-27,85324.32,Quantity increase on existing line items
CO-700014,CON-070336,ACC-10118,increase_qty,2028-06-20,31781.34,Quantity increase on existing line items
CO-700015,CON-070796,ACC-10334,increase_qty,2023-09-21,119250.09,Quantity increase on existing line items
CO-700016,CON-070277,ACC-10090,increase_qty,2024-07-12,159373.17,Quantity increase on existing line items
CO-700017,CON-071074,ACC-10448,add_skus,2027-12-25,207625.62,Customer added new product SKUs mid-term
CO-700018,CON-070576,ACC-10234,increase_qty,2024-07-09,144931.94,Quantity increase on existing line items
CO-700019,CON-070532,ACC-10213,add_skus,2023-08-10,165186.97,Customer added new product SKUs mid-term
CO-700020,CON-070673,ACC-10276,add_skus,2027-06-29,244642.68,Customer added new product SKUs mid-term
CO-700021,CON-070384,ACC-10141,add_skus,2024-01-29,108778.08,Customer added new product SKUs mid-term
CO-700022,CON-070278,ACC-10091,add_skus,2026-10-22,184775.3,Customer added new product SKUs mid-term
CO-700023,CON-070061,ACC-10015,increase_qty,2025-07-09,244461.98,Quantity increase on existing line items
CO-700024,CON-070692,ACC-10284,increase_qty,2024-01-28,39097.09,Quantity increase on existing line items
CO-700025,CON-070523,ACC-10210,add_skus,2025-11-22,214665.27,Customer added new product SKUs mid-term
CO-700026,CON-071131,ACC-10471,add_skus,2023-01-09,12509.09,Customer added new product SKUs mid-term
CO-700027,CON-070449,ACC-10173,add_skus,2023-01-07,181844.14,Customer added new product SKUs mid-term
CO-700028,CON-070058,ACC-10015,increase_qty,2026-09-13,41232.88,Quantity increase on existing line items
CO-700029,CON-070554,ACC-10223,tier_upgrade,2025-11-12,139749.56,Support tier upgraded
CO-700030,CON-070224,ACC-10064,increase_qty,2024-07-14,21397.62,Quantity increase on existing line items
CO-700031,CON-070963,ACC-10400,tier_upgrade,2024-10-26,17598.99,Support tier upgraded
CO-700032,CON-070913,ACC-10379,add_skus,2027-04-16,124607.93,Customer added new product SKUs mid-term
CO-700033,CON-070583,ACC-10237,add_skus,2025-01-13,204879.2,Customer added new product SKUs mid-term
CO-700034,CON-070866,ACC-10360,tier_upgrade,2023-10-20,245030.34,Support tier upgraded
CO-700035,CON-070955,ACC-10396,increase_qty,2023-11-20,194940.19,Quantity increase on existing line items
CO-700036,CON-071142,ACC-10476,increase_qty,2023-08-14,49728.19,Quantity increase on existing line items
CO-700037,CON-070022,ACC-10005,tier_upgrade,2024-10-05,171458.23,Support tier upgraded
CO-700038,CON-070334,ACC-10116,increase_qty,2027-06-06,115452.04,Quantity increase on existing line items
CO-700039,CON-070872,ACC-10362,increase_qty,2025-10-03,229971.13,Quantity increase on existing line items
CO-700040,CON-071052,ACC-10439,increase_qty,2025-10-11,79340.42,Quantity increase on existing line items
CO-700041,CON-070652,ACC-10263,increase_qty,2026-03-06,6715.36,Quantity increase on existing line items
CO-700042,CON-070771,ACC-10322,increase_qty,2026-04-25,173949.32,Quantity increase on existing line items
CO-700043,CON-070248,ACC-10076,add_skus,2024-09-07,167379.64,Customer added new product SKUs mid-term
CO-700044,CON-070230,ACC-10067,early_termination_partial,2023-09-04,103860.29,Partial termination of select line items
CO-700045,CON-070986,ACC-10410,early_termination_partial,2023-10-16,21989.35,Partial termination of select line items
CO-700046,CON-070939,ACC-10391,add_skus,2024-03-24,111922.96,Customer added new product SKUs mid-term
CO-700047,CON-070945,ACC-10393,increase_qty,2024-06-08,86398.48,Quantity increase on existing line items
CO-700048,CON-070255,ACC-10079,tier_upgrade,2026-04-10,89971.03,Support tier upgraded
CO-700049,CON-070328,ACC-10113,add_skus,2025-12-29,212267.36,Customer added new product SKUs mid-term
CO-700050,CON-070626,ACC-10254,add_skus,2025-08-27,108385.49,Customer added new product SKUs mid-term
CO-700051,CON-071087,ACC-10453,increase_qty,2027-09-30,216835.61,Quantity increase on existing line items
CO-700052,CON-070834,ACC-10348,add_skus,2025-04-30,182591.4,Customer added new product SKUs mid-term
CO-700053,CON-070726,ACC-10301,tier_upgrade,2023-06-04,47880.56,Support tier upgraded
CO-700054,CON-071009,ACC-10419,tier_upgrade,2022-06-16,197751.23,Support tier upgraded
CO-700055,CON-070840,ACC-10351,increase_qty,2025-07-11,48866.18,Quantity increase on existing line items
CO-700056,CON-070942,ACC-10391,tier_upgrade,2025-03-28,204189.28,Support tier upgraded
CO-700057,CON-071177,ACC-10491,increase_qty,2026-07-17,240647.5,Quantity increase on existing line items
CO-700058,CON-070947,ACC-10393,add_skus,2023-02-10,127287.9,Customer added new product SKUs mid-term
CO-700059,CON-070352,ACC-10125,add_skus,2025-03-19,148583.55,Customer added new product SKUs mid-term
CO-700060,CON-070957,ACC-10398,tier_upgrade,2023-10-04,89235.67,Support tier upgraded
CO-700061,CON-070817,ACC-10343,increase_qty,2026-05-13,56562.82,Quantity increase on existing line items
CO-700062,CON-070086,ACC-10022,add_skus,2025-02-26,23049.29,Customer added new product SKUs mid-term
