line_item_id,contract_id,account_id,sku,category,quantity,list_price_usd,discount_pct,unit_price,currency,billing_freq,start_date,end_date
LI-0500001,CON-070001,ACC-10001,PS-IE,services,1,180000.0,0.15,153000.0,USD,one_time,2023-01-26,2026-01-26
LI-0500002,CON-070001,ACC-10001,SW-NOC-120,software_subscription,1470,112.5,0.0,112.5,USD,monthly,2023-01-26,2026-01-26
LI-0500003,CON-070001,ACC-10001,SUP-PLA-EDGE,support,4,13750.0,0.0,13750.0,USD,annual,2023-01-26,2026-01-26
LI-0500004,CON-070001,ACC-10001,LB-1100,hardware,17,35000.0,0.1,31500.0,USD,one_time,2023-01-26,2026-01-26
LI-0500005,CON-070001,ACC-10001,SW-ZTN-110,software_subscription,354,61.25,0.2,49.0,USD,monthly,2023-01-26,2026-01-26
LI-0500006,CON-070001,ACC-10001,SW-NOC-110,software_subscription,1241,78.75,0.15,66.94,USD,annual,2023-01-26,2026-01-26
LI-0500007,CON-070001,ACC-10001,PS-HCA,services,1,18000.0,0.2,14400.0,USD,one_time,2023-01-26,2026-01-26
LI-0500008,CON-070001,ACC-10001,LB-1300,hardware,19,55000.0,0.1,49500.0,USD,one_time,2023-01-26,2026-01-26
LI-0500009,CON-070001,ACC-10001,CR-1500,hardware,26,141428.57,0.15,120214.28,USD,one_time,2023-01-26,2026-01-26
LI-0500010,CON-070002,ACC-10001,SD-1400,hardware,13,18571.43,0.2,14857.14,USD,one_time,2025-09-08,2026-09-08
LI-0500011,CON-070002,ACC-10001,SUP-GOL-EDGE,support,15,10000.0,0.15,8500.0,USD,annual,2025-09-08,2026-09-08
LI-0500012,CON-070002,ACC-10001,SUP-PLA-DC,support,8,48125.0,0.2,38500.0,USD,annual,2025-09-08,2026-09-08
LI-0500013,CON-070002,ACC-10001,WAP-1100,hardware,10,642.86,0.15,546.43,USD,one_time,2025-09-08,2026-09-08
LI-0500014,CON-070002,ACC-10001,CR-1200,hardware,6,83571.43,0.3,58500.0,USD,one_time,2025-09-08,2026-09-08
LI-0500015,CON-070002,ACC-10001,PS-CID,services,1,140000.0,0.15,119000.0,USD,one_time,2025-09-08,2026-09-08
LI-0500016,CON-070002,ACC-10001,SW-ZTN-120,software_subscription,756,87.5,0.25,65.62,USD,annual,2025-09-08,2026-09-08
LI-0500017,CON-070002,ACC-10001,SUP-GOL-DC,support,8,35000.0,0.2,28000.0,USD,annual,2025-09-08,2026-09-08
LI-0500018,CON-070002,ACC-10001,SUP-PLA-EDGE,support,10,13750.0,0.1,12375.0,USD,annual,2025-09-08,2026-09-08
LI-0500019,CON-070002,ACC-10001,CR-1200,hardware,26,83571.43,0.35,54321.43,USD,one_time,2025-09-08,2026-09-08
LI-0500020,CON-070002,ACC-10001,CR-1500,hardware,19,141428.57,0.2,113142.86,USD,one_time,2025-09-08,2026-09-08
LI-0500021,CON-070002,ACC-10001,FW-1700,hardware,26,65000.0,0.15,55250.0,USD,one_time,2025-09-08,2026-09-08
LI-0500022,CON-070002,ACC-10001,WAP-1200,hardware,19,835.71,0.2,668.57,USD,one_time,2025-09-08,2026-09-08
LI-0500023,CON-070003,ACC-10001,SW-SDC-120,software_subscription,83,500.0,0.25,375.0,USD,annual,2024-12-29,2029-12-28
LI-0500024,CON-070003,ACC-10001,SW-NOC-110,software_subscription,907,78.75,0.25,59.06,USD,monthly,2024-12-29,2029-12-28
LI-0500025,CON-070003,ACC-10001,SW-NOC-120,software_subscription,500,112.5,0.1,101.25,USD,monthly,2024-12-29,2029-12-28
