contract_id,account_id,msa_ref,start_date,end_date,term_years,total_value_usd,currency,payment_terms_days,status,auto_renew,renewal_notice_days,sold_via_partner
CON-070001,ACC-10001,MSA-10001-3,2023-01-26,2026-01-26,3,11761135.71,USD,30,expired,True,90,False
CON-070002,ACC-10001,MSA-10001-7,2025-09-08,2026-09-08,1,6512743.91,USD,60,active,False,120,False
CON-070003,ACC-10001,MSA-10001-9,2024-12-29,2029-12-28,5,9926394.13,USD,30,active,False,90,False
CON-070004,ACC-10002,MSA-10002-4,2024-03-07,2029-03-07,5,16060900.06,USD,90,active,True,60,False
CON-070005,ACC-10002,MSA-10002-9,2022-12-30,2024-12-28,2,13394305.66,USD,60,expired,True,120,False
CON-070006,ACC-10002,MSA-10002-7,2025-02-23,2030-02-23,5,18911136.91,USD,60,active,False,90,False
CON-070007,ACC-10002,MSA-10002-1,2022-05-28,2025-05-28,3,6147964.78,USD,30,expired,True,30,False
CON-070008,ACC-10002,MSA-10002-2,2024-12-28,2027-12-28,3,2831295.56,USD,30,active,True,90,False
CON-070009,ACC-10003,MSA-10003-5,2023-12-06,2028-12-06,5,11300608.69,USD,30,active,True,90,False
CON-070010,ACC-10003,MSA-10003-5,2025-04-04,2027-04-04,2,17798894.58,USD,30,active,True,30,False
CON-070011,ACC-10003,MSA-10003-9,2022-08-11,2025-08-11,3,6436041.5,USD,30,expired,True,30,False
CON-070012,ACC-10003,MSA-10003-6,2025-01-10,2026-01-10,1,8090508.88,USD,60,expired,True,120,False
CON-070013,ACC-10003,MSA-10003-2,2025-10-01,2027-10-01,2,9363447.5,USD,45,active,True,30,False
CON-070014,ACC-10004,MSA-10004-3,2023-04-02,2028-04-02,5,24171875.22,USD,30,active,False,30,True
CON-070015,ACC-10004,MSA-10004-1,2024-04-21,2026-04-21,2,8581982.42,USD,30,expired,False,120,True
CON-070016,ACC-10004,MSA-10004-6,2025-09-17,2028-09-17,3,36673856.7,USD,60,active,False,30,False
CON-070017,ACC-10004,MSA-10004-9,2025-05-06,2028-05-06,3,5741108.51,USD,60,active,False,90,True
CON-070018,ACC-10005,MSA-10005-4,2024-12-05,2027-12-05,3,8919279.31,USD,30,active,False,60,False
CON-070019,ACC-10005,MSA-10005-3,2023-10-09,2025-10-09,2,9001228.96,USD,30,expired,True,90,False
CON-070020,ACC-10005,MSA-10005-1,2024-11-07,2025-11-07,1,4295487.51,USD,45,expired,True,30,False
CON-070021,ACC-10005,MSA-10005-1,2025-09-07,2028-09-07,3,8874483.4,USD,30,active,True,90,False
CON-070022,ACC-10005,MSA-10005-5,2024-04-13,2027-04-13,3,37580803.26,USD,45,active,True,90,False
CON-070023,ACC-10006,MSA-10006-5,2023-12-02,2025-12-02,2,2017324.0,USD,30,expired,True,90,False
CON-070024,ACC-10006,MSA-10006-3,2023-02-20,2025-02-20,2,3423832.55,USD,30,terminated,True,60,False
CON-070025,ACC-10006,MSA-10006-7,2024-05-16,2025-05-16,1,2821419.7,USD,30,expired,False,90,False
CON-070026,ACC-10007,MSA-10007-5,2024-03-31,2026-03-28,2,6852454.58,USD,30,expired,True,60,False
CON-070027,ACC-10007,MSA-10007-6,2025-03-08,2028-03-08,3,38411903.59,USD,45,active,False,60,False
CON-070028,ACC-10007,MSA-10007-7,2023-06-12,2026-06-12,3,8370070.38,USD,30,active,False,90,False
