credit_memo_id,account_id,related_invoice_id,amount,currency,issued_date,reason,applied_to_invoice_id,applied_date
CM-400001,ACC-10451,INV-0224828,3130.43,USD,2023-03-24,early_termination_adjustment,INV-0204177,2023-05-26
CM-400002,ACC-10189,INV-0211188,248.03,USD,2025-08-30,duplicate_charge,INV-0210726,2025-10-05
CM-400003,ACC-10326,INV-0218042,468.67,USD,2026-05-03,billing_error,INV-0202906,2026-07-19
CM-400004,ACC-10411,INV-0222657,5823.17,USD,2025-09-11,negotiated_discount,,
CM-400005,ACC-10177,INV-0210634,1306.95,USD,2022-12-17,negotiated_discount,INV-0217246,2023-03-23
CM-400006,ACC-10011,INV-0200970,2296.28,USD,2023-12-20,duplicate_charge,,
CM-400007,ACC-10213,INV-0212199,6713.53,USD,2024-06-28,early_termination_adjustment,INV-0208648,2024-08-20
CM-400008,ACC-10017,INV-0201443,2233.86,USD,2026-02-20,duplicate_charge,INV-0226668,2026-03-17
CM-400009,ACC-10466,INV-0225651,7705.49,USD,2026-06-24,billing_error,INV-0203118,2026-04-15
CM-400010,ACC-10213,INV-0212217,2498.97,USD,2026-03-02,billing_error,INV-0208938,2026-03-26
CM-400011,ACC-10044,INV-0203883,16129.16,EUR,2026-07-12,billing_error,,
CM-400012,ACC-10216,INV-0212420,471.12,USD,2023-07-25,billing_error,INV-0218895,2023-06-20
CM-400013,ACC-10395,INV-0221790,282695.37,JPY,2024-08-09,service_credit_sla,INV-0203826,2024-09-21
CM-400014,ACC-10168,INV-0210190,9190.92,USD,2026-05-28,service_credit_sla,INV-0220571,2026-06-01
CM-400015,ACC-10410,INV-0222506,3196.47,GBP,2024-04-18,billing_error,INV-0210579,2024-01-27
CM-400016,ACC-10005,INV-0200482,34398.94,USD,2024-10-02,billing_error,INV-0227076,2024-11-11
CM-400017,ACC-10268,INV-0215254,13078.42,USD,2025-01-26,service_credit_sla,INV-0202485,2024-11-29
CM-400018,ACC-10025,INV-0202283,24812.73,USD,2023-08-08,goodwill,,
CM-400019,ACC-10144,INV-0209046,3717.2,GBP,2022-08-18,goodwill,,
CM-400020,ACC-10213,INV-0212289,12281.87,USD,2024-04-10,billing_error,INV-0226283,2024-03-12
CM-400021,ACC-10277,INV-0215643,5988.39,USD,2024-12-12,early_termination_adjustment,INV-0208071,2025-03-22
CM-400022,ACC-10430,INV-0223575,4461.74,USD,2025-07-23,negotiated_discount,INV-0209315,2025-09-30
CM-400023,ACC-10079,INV-0206008,18651.24,USD,2024-05-24,negotiated_discount,,
CM-400024,ACC-10309,INV-0217190,4930.89,USD,2023-09-27,negotiated_discount,INV-0203632,2023-11-16
CM-400025,ACC-10004,INV-0200396,14599.98,USD,2026-02-17,goodwill,INV-0216440,2026-01-30
CM-400026,ACC-10251,INV-0214375,3967.14,USD,2026-03-04,negotiated_discount,INV-0202105,2026-02-10
CM-400027,ACC-10032,INV-0202824,30509.87,USD,2022-11-21,billing_error,INV-0209695,2023-01-17
CM-400028,ACC-10007,INV-0200665,6122.05,USD,2026-05-26,early_termination_adjustment,INV-0202144,2026-05-10
CM-400029,ACC-10444,INV-0224438,726.4,USD,2026-02-02,negotiated_discount,,
CM-400030,ACC-10238,INV-0213505,1571.62,EUR,2025-01-10,billing_error,INV-0220124,2024-12-15
CM-400031,ACC-10018,INV-0201502,9069.0,USD,2025-03-08,negotiated_discount,INV-0206322,2025-03-19
CM-400032,ACC-10024,INV-0202196,3269.13,GBP,2026-03-20,duplicate_charge,INV-0224862,2026-05-27
CM-400033,ACC-10406,INV-0222288,7561.84,USD,2025-12-20,service_credit_sla,,
CM-400034,ACC-10042,INV-0203720,3578.14,USD,2024-07-05,goodwill,INV-0221191,2024-10-05
CM-400035,ACC-10328,INV-0218083,7455.23,USD,2026-03-15,early_termination_adjustment,INV-0220669,2026-07-03
CM-400036,ACC-10044,INV-0203939,8770.13,EUR,2025-03-22,negotiated_discount,INV-0202395,2025-02-25
CM-400037,ACC-10419,INV-0223066,346.0,USD,2022-09-09,billing_error,INV-0202781,2022-11-28
CM-400038,ACC-10424,INV-0223387,2005.22,USD,2025-05-30,negotiated_discount,INV-0211825,2025-08-21
CM-400039,ACC-10239,INV-0213557,1134.84,EUR,2023-05-27,service_credit_sla,,
CM-400040,ACC-10144,INV-0209123,1728.75,GBP,2025-12-18,duplicate_charge,INV-0226597,2026-04-09
CM-400041,ACC-10291,INV-0216426,31.36,USD,2024-06-02,service_credit_sla,INV-0225498,2024-06-08
CM-400042,ACC-10070,INV-0205574,1493.05,USD,2026-07-10,negotiated_discount,INV-0224048,2026-07-29
CM-400043,ACC-10373,INV-0220710,3845361.4,JPY,2023-05-17,negotiated_discount,INV-0216404,2023-06-04
CM-400044,ACC-10040,INV-0203601,24585.65,USD,2024-10-09,negotiated_discount,INV-0217576,2024-09-05
CM-400045,ACC-10309,INV-0217188,1504.02,USD,2023-09-29,billing_error,INV-0221359,2023-11-21
CM-400046,ACC-10326,INV-0217991,4781.83,USD,2023-11-04,negotiated_discount,INV-0219823,2023-10-01
CM-400047,ACC-10160,INV-0209783,2430.97,USD,2023-02-05,negotiated_discount,INV-0208540,2023-05-24
CM-400048,ACC-10003,INV-0200231,18488.33,USD,2026-02-05,goodwill,INV-0209751,2026-05-14
CM-400049,ACC-10374,INV-0220779,1306.42,USD,2026-05-20,negotiated_discount,INV-0207766,2026-07-07
CM-400050,ACC-10416,INV-0222883,324.44,USD,2025-06-01,negotiated_discount,INV-0213104,2025-09-10
CM-400051,ACC-10374,INV-0220772,1587.17,USD,2025-11-26,negotiated_discount,INV-0211267,2025-10-25
CM-400052,ACC-10353,INV-0219540,4564.29,GBP,2025-02-24,billing_error,INV-0223416,2025-04-30
CM-400053,ACC-10200,INV-0211622,7054.47,EUR,2024-04-18,billing_error,,
CM-400054,ACC-10320,INV-0217638,3845.65,USD,2022-08-28,duplicate_charge,INV-0221131,2022-09-16
CM-400055,ACC-10390,INV-0221503,13952.33,USD,2025-01-16,negotiated_discount,INV-0205908,2025-05-19
CM-400056,ACC-10292,INV-0216448,11352.29,USD,2026-05-31,early_termination_adjustment,,
CM-400057,ACC-10239,INV-0213566,1195.13,EUR,2024-05-07,goodwill,INV-0214873,2024-03-24
CM-400058,ACC-10120,INV-0207921,1793.25,USD,2024-07-27,service_credit_sla,INV-0227100,2024-09-13
CM-400059,ACC-10032,INV-0202807,14684.41,USD,2025-05-13,billing_error,INV-0201916,2025-06-20
CM-400060,ACC-10462,INV-0225320,102.94,USD,2025-01-24,service_credit_sla,INV-0225693,2025-03-06
CM-400061,ACC-10490,INV-0226794,10083.04,USD,2025-08-19,billing_error,INV-0215452,2025-10-27
CM-400062,ACC-10050,INV-0204404,25279.82,EUR,2023-07-28,early_termination_adjustment,INV-0218976,2023-06-12
CM-400063,ACC-10238,INV-0213527,13998.33,EUR,2023-10-23,billing_error,INV-0201885,2023-12-24
CM-400064,ACC-10182,INV-0210832,1424.06,USD,2024-04-20,early_termination_adjustment,INV-0218161,2024-06-15
CM-400065,ACC-10210,INV-0212016,2829.7,USD,2024-04-28,service_credit_sla,INV-0221012,2024-03-03
CM-400066,ACC-10027,INV-0202410,38138.37,USD,2026-04-02,service_credit_sla,,
CM-400067,ACC-10277,INV-0215691,1362.04,USD,2026-03-19,negotiated_discount,INV-0208910,2026-04-14
CM-400068,ACC-10188,INV-0211143,2302.1,USD,2026-04-11,negotiated_discount,INV-0210954,2026-05-01
CM-400069,ACC-10121,INV-0208003,1109.52,USD,2025-08-21,duplicate_charge,INV-0205984,2025-09-01
CM-400070,ACC-10144,INV-0209099,1385.55,GBP,2024-03-30,service_credit_sla,INV-0216566,2024-05-12
