entitlement_id,account_id,contract_id,line_item_id,sku,quantity_licensed,start_date,end_date
ENT-0800001,ACC-10001,CON-070001,LI-0500002,SW-NOC-120,1470,2023-01-26,2026-01-26
ENT-0800002,ACC-10001,CON-070001,LI-0500003,SUP-PLA-EDGE,4,2023-01-26,2026-01-26
ENT-0800003,ACC-10001,CON-070001,LI-0500005,SW-ZTN-110,354,2023-01-26,2026-01-26
ENT-0800004,ACC-10001,CON-070001,LI-0500006,SW-NOC-110,1241,2023-01-26,2026-01-26
ENT-0800005,ACC-10001,CON-070002,LI-0500011,SUP-GOL-EDGE,15,2025-09-08,2026-09-08
ENT-0800006,ACC-10001,CON-070002,LI-0500012,SUP-PLA-DC,8,2025-09-08,2026-09-08
ENT-0800007,ACC-10001,CON-070002,LI-0500016,SW-ZTN-120,756,2025-09-08,2026-09-08
ENT-0800008,ACC-10001,CON-070002,LI-0500017,SUP-GOL-DC,8,2025-09-08,2026-09-08
ENT-0800009,ACC-10001,CON-070002,LI-0500018,SUP-PLA-EDGE,10,2025-09-08,2026-09-08
ENT-0800010,ACC-10001,CON-070003,LI-0500023,SW-SDC-120,83,2024-12-29,2029-12-28
ENT-0800011,ACC-10001,CON-070003,LI-0500024,SW-NOC-110,907,2024-12-29,2029-12-28
ENT-0800012,ACC-10001,CON-070003,LI-0500025,SW-NOC-120,500,2024-12-29,2029-12-28
ENT-0800013,ACC-10001,CON-070003,LI-0500027,SUP-BRO-DC,2,2024-12-29,2029-12-28
ENT-0800014,ACC-10001,CON-070003,LI-0500028,SW-OBS-120,509,2024-12-29,2029-12-28
ENT-0800015,ACC-10001,CON-070003,LI-0500029,SW-NOC-120,856,2024-12-29,2029-12-28
ENT-0800016,ACC-10002,CON-070004,LI-0500031,SUP-GOL-DC,12,2024-03-07,2029-03-07
ENT-0800017,ACC-10002,CON-070004,LI-0500032,SUP-BRO-EDGE,17,2024-03-07,2029-03-07
ENT-0800018,ACC-10002,CON-070004,LI-0500033,SW-OBS-130,1457,2028-07-07,2029-03-07
ENT-0800019,ACC-10002,CON-070004,LI-0500034,SUP-SIL-CORE,9,2024-03-07,2029-03-07
ENT-0800020,ACC-10002,CON-070004,LI-0500035,SUP-GOL-CORE,9,2024-03-07,2029-03-07
ENT-0800021,ACC-10002,CON-070004,LI-0500036,SW-OBS-140,1971,2024-03-07,2029-03-07
ENT-0800022,ACC-10002,CON-070005,LI-0500043,SW-SEC-110,160,2022-12-30,2024-12-28
ENT-0800023,ACC-10002,CON-070005,LI-0500045,SW-SDC-140,1509,2022-12-30,2024-12-28
ENT-0800024,ACC-10002,CON-070005,LI-0500046,SUP-BRO-CORE,14,2022-12-30,2024-12-28
ENT-0800025,ACC-10002,CON-070005,LI-0500048,SUP-GOL-DC,7,2022-12-30,2024-12-28
ENT-0800026,ACC-10002,CON-070005,LI-0500050,SW-SEC-140,600,2022-12-30,2024-12-28
