payment_id,invoice_id,account_id,paid_date,amount,currency,method,status
PAY-0300001,INV-0200001,ACC-10001,2023-03-11,4768971.28,USD,check,succeeded
PAY-0300002,INV-0200002,ACC-10001,2023-02-05,182721.0,USD,check,succeeded
PAY-0300003,INV-0200003,ACC-10001,2023-03-17,182721.0,USD,ach,succeeded
PAY-0300004,INV-0200005,ACC-10001,2023-04-07,182721.0,USD,wire,succeeded
PAY-0300005,INV-0200006,ACC-10001,2023-05-27,182721.0,USD,wire,succeeded
PAY-0300006,INV-0200007,ACC-10001,2023-06-21,182721.0,USD,ach,succeeded
PAY-0300007,INV-0200009,ACC-10001,2023-08-08,182721.0,USD,wire,succeeded
PAY-0300008,INV-0200010,ACC-10001,2023-10-13,182721.0,USD,check,succeeded
PAY-0300009,INV-0200011,ACC-10001,2023-11-15,182721.0,USD,check,succeeded
PAY-0300010,INV-0200012,ACC-10001,2023-11-23,182721.0,USD,ach,succeeded
PAY-0300011,INV-0200013,ACC-10001,2023-12-27,182721.0,USD,credit_card,succeeded
PAY-0300012,INV-0200014,ACC-10001,2024-02-10,182721.0,USD,ach,succeeded
PAY-0300013,INV-0200015,ACC-10001,2024-03-07,182721.0,USD,wire,succeeded
PAY-0300014,INV-0200016,ACC-10001,2024-03-29,182721.0,USD,credit_card,succeeded
PAY-0300015,INV-0200017,ACC-10001,2024-05-12,182721.0,USD,credit_card,succeeded
PAY-0300016,INV-0200018,ACC-10001,2024-05-28,182721.0,USD,wire,succeeded
PAY-0300017,INV-0200019,ACC-10001,2024-06-09,182721.0,USD,ach,succeeded
PAY-0300018,INV-0200020,ACC-10001,2024-08-07,182721.0,USD,credit_card,succeeded
PAY-0300019,INV-0200021,ACC-10001,2024-08-17,182721.0,USD,check,succeeded
PAY-0300020,INV-0200022,ACC-10001,2024-09-28,182721.0,USD,credit_card,succeeded
PAY-0300021,INV-0200023,ACC-10001,2024-11-05,182721.0,USD,wire,succeeded
PAY-0300022,INV-0200024,ACC-10001,2024-11-14,182721.0,USD,wire,succeeded
PAY-0300023,INV-0200026,ACC-10001,2025-01-20,182721.0,USD,wire,succeeded
PAY-0300024,INV-0200027,ACC-10001,2025-02-17,182721.0,USD,wire,succeeded
PAY-0300025,INV-0200028,ACC-10001,2025-03-18,182721.0,USD,wire,succeeded
PAY-0300026,INV-0200029,ACC-10001,2025-04-06,182721.0,USD,wire,succeeded
PAY-0300027,INV-0200030,ACC-10001,2025-05-06,182721.0,USD,wire,succeeded
PAY-0300028,INV-0200031,ACC-10001,2025-07-06,182721.0,USD,ach,succeeded
