sku,name,category,list_price_usd,billing_model,uom
AX-1100,Acme Access Switch AX-1100,hardware,3857.14,one_time,unit
AX-1200,Acme Access Switch AX-1200,hardware,5214.29,one_time,unit
AX-1300,Acme Access Switch AX-1300,hardware,6571.43,one_time,unit
AX-1400,Acme Access Switch AX-1400,hardware,7928.57,one_time,unit
AX-1500,Acme Access Switch AX-1500,hardware,9285.71,one_time,unit
AX-1600,Acme Access Switch AX-1600,hardware,10642.86,one_time,unit
AX-1700,Acme Access Switch AX-1700,hardware,12000.0,one_time,unit
CR-1100,Acme Core Router CR-1100,hardware,64285.71,one_time,unit
CR-1200,Acme Core Router CR-1200,hardware,83571.43,one_time,unit
CR-1300,Acme Core Router CR-1300,hardware,102857.14,one_time,unit
CR-1400,Acme Core Router CR-1400,hardware,122142.86,one_time,unit
CR-1500,Acme Core Router CR-1500,hardware,141428.57,one_time,unit
CR-1600,Acme Core Router CR-1600,hardware,160714.29,one_time,unit
CR-1700,Acme Core Router CR-1700,hardware,180000.0,one_time,unit
FW-1100,Acme Firewall Appliance FW-1100,hardware,16142.86,one_time,unit
FW-1200,Acme Firewall Appliance FW-1200,hardware,24285.71,one_time,unit
FW-1300,Acme Firewall Appliance FW-1300,hardware,32428.57,one_time,unit
FW-1400,Acme Firewall Appliance FW-1400,hardware,40571.43,one_time,unit
FW-1500,Acme Firewall Appliance FW-1500,hardware,48714.29,one_time,unit
FW-1600,Acme Firewall Appliance FW-1600,hardware,56857.14,one_time,unit
FW-1700,Acme Firewall Appliance FW-1700,hardware,65000.0,one_time,unit
WAP-1100,Acme Wireless Access Point WAP-1100,hardware,642.86,one_time,unit
WAP-1200,Acme Wireless Access Point WAP-1200,hardware,835.71,one_time,unit
WAP-1300,Acme Wireless Access Point WAP-1300,hardware,1028.57,one_time,unit
WAP-1400,Acme Wireless Access Point WAP-1400,hardware,1221.43,one_time,unit
WAP-1500,Acme Wireless Access Point WAP-1500,hardware,1414.29,one_time,unit
WAP-1600,Acme Wireless Access Point WAP-1600,hardware,1607.14,one_time,unit
WAP-1700,Acme Wireless Access Point WAP-1700,hardware,1800.0,one_time,unit
LB-1100,Acme Load Balancer LB-1100,hardware,35000.0,one_time,unit
LB-1200,Acme Load Balancer LB-1200,hardware,45000.0,one_time,unit
LB-1300,Acme Load Balancer LB-1300,hardware,55000.0,one_time,unit
LB-1400,Acme Load Balancer LB-1400,hardware,65000.0,one_time,unit
LB-1500,Acme Load Balancer LB-1500,hardware,75000.0,one_time,unit
LB-1600,Acme Load Balancer LB-1600,hardware,85000.0,one_time,unit
LB-1700,Acme Load Balancer LB-1700,hardware,95000.0,one_time,unit
SD-1100,Acme SD-WAN Gateway SD-1100,hardware,9142.86,one_time,unit
SD-1200,Acme SD-WAN Gateway SD-1200,hardware,12285.71,one_time,unit
SD-1300,Acme SD-WAN Gateway SD-1300,hardware,15428.57,one_time,unit
SD-1400,Acme SD-WAN Gateway SD-1400,hardware,18571.43,one_time,unit
SD-1500,Acme SD-WAN Gateway SD-1500,hardware,21714.29,one_time,unit
SW-NOC-110,Acme NOC Platform Tier 1,software_subscription,78.75,per_seat_month,seat
SW-NOC-120,Acme NOC Platform Tier 2,software_subscription,112.5,per_seat_month,seat
SW-NOC-130,Acme NOC Platform Tier 3,software_subscription,146.25,per_seat_month,seat
SW-NOC-140,Acme NOC Platform Tier 4,software_subscription,180.0,per_seat_month,seat
