renewal_id,contract_id,account_id,original_end_date,renewal_notice_required_days,notice_sent_date,outcome,new_term_start,new_term_end
REN-600001,CON-070001,ACC-10001,2026-01-26,90,2025-10-05,cancelled_by_customer,,
REN-600002,CON-070002,ACC-10001,2026-09-08,120,2026-04-16,pending,,
REN-600003,CON-070005,ACC-10002,2024-12-28,120,2024-08-14,renewed_negotiated,2024-12-29,2026-12-28
REN-600004,CON-070007,ACC-10002,2025-05-28,30,2025-04-04,auto_renewed,2025-05-29,2028-05-27
REN-600005,CON-070010,ACC-10003,2027-04-04,30,2027-03-03,pending,,
REN-600006,CON-070011,ACC-10003,2025-08-11,30,2025-06-20,pending,,
REN-600007,CON-070012,ACC-10003,2026-01-10,120,2025-08-20,auto_renewed,2026-01-11,2027-01-10
REN-600008,CON-070015,ACC-10004,2026-04-21,120,2025-12-04,renewed_negotiated,2026-04-22,2028-04-20
REN-600009,CON-070019,ACC-10005,2025-10-09,90,2025-06-19,auto_renewed,2025-10-10,2027-10-09
REN-600010,CON-070020,ACC-10005,2025-11-07,30,2025-09-09,renewed_negotiated,2025-11-08,2026-11-07
REN-600011,CON-070022,ACC-10005,2027-04-13,90,2027-01-09,pending,,
REN-600012,CON-070023,ACC-10006,2025-12-02,90,2025-08-25,auto_renewed,2025-12-03,2027-12-02
REN-600013,CON-070024,ACC-10006,2025-02-20,60,2024-11-29,pending,,
REN-600014,CON-070025,ACC-10006,2025-05-16,90,2025-01-17,pending,,
REN-600015,CON-070026,ACC-10007,2026-03-28,60,2025-12-31,auto_renewed,2026-03-29,2028-03-27
REN-600016,CON-070028,ACC-10007,2026-06-12,90,2026-02-21,pending,,
REN-600017,CON-070029,ACC-10007,2025-05-27,90,2025-02-22,pending,,
REN-600018,CON-070030,ACC-10008,2026-09-17,90,2026-06-11,pending,,
REN-600019,CON-070031,ACC-10008,2025-12-16,30,2025-11-13,pending,,
REN-600020,CON-070035,ACC-10009,2024-05-25,90,2024-01-31,auto_renewed,2024-05-26,2025-05-25
REN-600021,CON-070038,ACC-10010,2025-11-12,90,2025-07-18,renewed_negotiated,2025-11-13,2028-11-11
REN-600022,CON-070039,ACC-10010,2026-08-01,90,2026-04-28,pending,,
REN-600023,CON-070044,ACC-10011,2025-05-27,90,2025-02-07,auto_renewed,2025-05-28,2028-05-26
REN-600024,CON-070047,ACC-10012,2026-08-22,90,2026-05-11,pending,,
REN-600025,CON-070048,ACC-10012,2025-03-02,90,2024-11-25,pending,,
REN-600026,CON-070049,ACC-10013,2026-12-08,30,2026-10-28,pending,,
REN-600027,CON-070052,ACC-10013,2026-03-17,90,2025-11-22,auto_renewed,2026-03-18,2027-03-17
REN-600028,CON-070053,ACC-10014,2025-02-21,30,2025-01-03,renewed_negotiated,2025-02-22,2028-02-21
REN-600029,CON-070055,ACC-10014,2025-03-17,30,2025-01-31,cancelled_by_customer,,
REN-600030,CON-070056,ACC-10014,2026-07-21,120,2026-03-12,pending,,
REN-600031,CON-070058,ACC-10015,2026-11-15,60,2026-09-11,pending,,
REN-600032,CON-070060,ACC-10015,2026-10-14,90,2026-07-12,pending,,
REN-600033,CON-070061,ACC-10015,2026-11-02,90,2026-07-19,pending,,
REN-600034,CON-070062,ACC-10016,2025-03-06,120,2025-02-27,auto_renewed,2025-03-07,2027-03-06
REN-600035,CON-070063,ACC-10016,2027-04-14,90,2026-12-29,pending,,
REN-600036,CON-070064,ACC-10016,2025-08-11,90,2025-05-06,renewed_negotiated,2025-08-12,2026-08-11
REN-600037,CON-070066,ACC-10017,2027-05-06,30,2027-04-02,pending,,
REN-600038,CON-070070,ACC-10018,2025-10-02,90,2025-07-04,renewed_negotiated,2025-10-03,2027-10-02
REN-600039,CON-070071,ACC-10018,2025-08-17,90,2025-04-25,pending,,
REN-600040,CON-070072,ACC-10018,2025-12-26,90,2025-09-08,pending,,
REN-600041,CON-070074,ACC-10019,2024-08-04,90,2024-04-29,renewed_negotiated,2024-08-05,2025-08-04
REN-600042,CON-070075,ACC-10019,2026-07-21,90,2026-04-04,pending,,
REN-600043,CON-070081,ACC-10020,2024-08-28,90,2024-05-15,cancelled_by_customer,,
REN-600044,CON-070082,ACC-10020,2026-10-18,90,2026-06-26,pending,,
REN-600045,CON-070086,ACC-10022,2025-07-07,60,2025-04-30,auto_renewed,2025-07-08,2027-07-07
REN-600046,CON-070087,ACC-10022,2027-02-03,120,2026-09-17,pending,,
REN-600047,CON-070089,ACC-10022,2024-08-08,30,2024-06-22,auto_renewed,2024-08-09,2025-08-08
REN-600048,CON-070091,ACC-10023,2025-06-24,90,2025-03-25,cancelled_by_customer,,
REN-600049,CON-070092,ACC-10023,2026-03-28,90,2025-12-02,pending,,
REN-600050,CON-070094,ACC-10023,2026-09-11,90,2026-06-13,pending,,
REN-600051,CON-070095,ACC-10024,2025-06-13,30,2025-04-18,renewed_negotiated,2025-06-14,2027-06-13
REN-600052,CON-070096,ACC-10024,2026-09-20,120,2026-04-28,pending,,
REN-600053,CON-070098,ACC-10024,2026-06-03,90,2026-02-14,pending,,
REN-600054,CON-070099,ACC-10024,2025-12-14,30,2025-11-09,auto_renewed,2025-12-15,2027-12-14
REN-600055,CON-070101,ACC-10025,2026-04-14,60,2026-01-25,auto_renewed,2026-04-15,2028-04-13
REN-600056,CON-070102,ACC-10025,2027-05-03,90,2027-01-26,pending,,
REN-600057,CON-070105,ACC-10026,2027-04-23,90,2027-01-10,pending,,
REN-600058,CON-070106,ACC-10026,2026-10-23,90,2026-07-11,pending,,
REN-600059,CON-070107,ACC-10027,2027-04-03,90,2026-12-20,pending,,
REN-600060,CON-070108,ACC-10027,2024-11-05,90,2024-07-21,renewed_negotiated,2024-11-06,2026-11-05
REN-600061,CON-070109,ACC-10027,2026-04-13,60,2026-02-01,auto_renewed,2026-04-14,2028-04-12
REN-600062,CON-070110,ACC-10027,2026-04-22,120,2025-11-27,renewed_negotiated,2026-04-23,2027-04-22
REN-600063,CON-070112,ACC-10028,2025-03-06,90,2024-12-04,renewed_negotiated,2025-03-07,2026-03-06
REN-600064,CON-070115,ACC-10029,2025-10-09,60,2025-08-02,auto_renewed,2025-10-10,2026-10-09
REN-600065,CON-070117,ACC-10029,2024-09-28,60,2024-06-30,auto_renewed,2024-09-29,2026-09-28
REN-600066,CON-070118,ACC-10029,2025-11-01,30,2025-09-21,cancelled_by_customer,,
REN-600067,CON-070119,ACC-10030,2024-07-11,90,2024-04-02,auto_renewed,2024-07-12,2026-07-11
REN-600068,CON-070123,ACC-10031,2025-04-03,60,2025-01-25,renewed_negotiated,2025-04-04,2028-04-02
REN-600069,CON-070124,ACC-10031,2024-08-06,30,2024-06-13,auto_renewed,2024-08-07,2026-08-06
REN-600070,CON-070126,ACC-10032,2025-05-14,90,2025-01-21,auto_renewed,2025-05-15,2026-05-14
REN-600071,CON-070127,ACC-10032,2026-05-25,120,2026-01-06,pending,,
REN-600072,CON-070128,ACC-10032,2024-08-02,120,2024-03-26,pending,,
REN-600073,CON-070130,ACC-10033,2025-11-23,60,2025-09-15,renewed_negotiated,2025-11-24,2026-11-23
REN-600074,CON-070131,ACC-10033,2025-09-10,90,2025-06-04,auto_renewed,2025-09-11,2027-09-10
REN-600075,CON-070132,ACC-10033,2026-09-15,60,2026-06-24,pending,,
REN-600076,CON-070133,ACC-10034,2025-11-23,120,2025-07-17,pending,,
REN-600077,CON-070135,ACC-10034,2027-02-06,30,2027-01-03,pending,,
REN-600078,CON-070136,ACC-10035,2026-07-03,60,2026-04-09,pending,,
REN-600079,CON-070138,ACC-10035,2024-10-26,90,2024-07-09,auto_renewed,2024-10-27,2025-10-26
REN-600080,CON-070139,ACC-10035,2027-02-10,60,2026-11-14,pending,,
REN-600081,CON-070140,ACC-10036,2027-02-13,90,2026-10-26,pending,,
REN-600082,CON-070141,ACC-10036,2025-12-24,30,2025-11-10,renewed_negotiated,2025-12-25,2027-12-24
REN-600083,CON-070142,ACC-10036,2026-02-01,30,2025-12-04,auto_renewed,2026-02-02,2029-01-31
REN-600084,CON-070145,ACC-10037,2025-08-27,30,2025-07-21,pending,,
REN-600085,CON-070147,ACC-10038,2025-11-10,120,2025-06-28,cancelled_by_customer,,
REN-600086,CON-070150,ACC-10038,2026-09-16,90,2026-06-14,pending,,
REN-600087,CON-070155,ACC-10040,2025-05-21,60,2025-03-09,cancelled_by_customer,,
REN-600088,CON-070157,ACC-10040,2026-04-22,60,2026-02-04,renewed_negotiated,2026-04-23,2028-04-21
REN-600089,CON-070160,ACC-10041,2026-01-14,90,2025-10-10,pending,,
REN-600090,CON-070163,ACC-10042,2025-12-22,90,2025-09-18,renewed_negotiated,2025-12-23,2028-12-21
