usage_id,account_id,entitlement_id,sku,period_month,quantity_used
USE-0900001,ACC-10001,ENT-0800001,SW-NOC-120,2023-01-01,904
USE-0900002,ACC-10001,ENT-0800001,SW-NOC-120,2023-02-01,933
USE-0900003,ACC-10001,ENT-0800001,SW-NOC-120,2023-03-01,961
USE-0900004,ACC-10001,ENT-0800001,SW-NOC-120,2023-04-01,990
USE-0900005,ACC-10001,ENT-0800001,SW-NOC-120,2023-05-01,1019
USE-0900006,ACC-10001,ENT-0800001,SW-NOC-120,2023-06-01,1048
USE-0900007,ACC-10001,ENT-0800001,SW-NOC-120,2023-07-01,1077
USE-0900008,ACC-10001,ENT-0800001,SW-NOC-120,2023-08-01,1105
USE-0900009,ACC-10001,ENT-0800001,SW-NOC-120,2023-09-01,1134
USE-0900010,ACC-10001,ENT-0800001,SW-NOC-120,2023-10-01,1163
USE-0900011,ACC-10001,ENT-0800001,SW-NOC-120,2023-11-01,1192
USE-0900012,ACC-10001,ENT-0800001,SW-NOC-120,2023-12-01,1221
USE-0900013,ACC-10001,ENT-0800001,SW-NOC-120,2024-01-01,1250
USE-0900014,ACC-10001,ENT-0800001,SW-NOC-120,2024-02-01,1278
USE-0900015,ACC-10001,ENT-0800001,SW-NOC-120,2024-03-01,1307
USE-0900016,ACC-10001,ENT-0800001,SW-NOC-120,2024-04-01,1336
USE-0900017,ACC-10001,ENT-0800001,SW-NOC-120,2024-05-01,1365
USE-0900018,ACC-10001,ENT-0800001,SW-NOC-120,2024-06-01,1394
USE-0900019,ACC-10001,ENT-0800001,SW-NOC-120,2024-07-01,1422
USE-0900020,ACC-10001,ENT-0800001,SW-NOC-120,2024-08-01,1451
USE-0900021,ACC-10001,ENT-0800001,SW-NOC-120,2024-09-01,1480
USE-0900022,ACC-10001,ENT-0800001,SW-NOC-120,2024-10-01,1509
USE-0900023,ACC-10001,ENT-0800001,SW-NOC-120,2024-11-01,1538
USE-0900024,ACC-10001,ENT-0800001,SW-NOC-120,2024-12-01,1567
USE-0900025,ACC-10001,ENT-0800001,SW-NOC-120,2025-01-01,1595
USE-0900026,ACC-10001,ENT-0800001,SW-NOC-120,2025-02-01,1624
USE-0900027,ACC-10001,ENT-0800001,SW-NOC-120,2025-03-01,1653
USE-0900028,ACC-10001,ENT-0800001,SW-NOC-120,2025-04-01,1682
USE-0900029,ACC-10001,ENT-0800001,SW-NOC-120,2025-05-01,1711
USE-0900030,ACC-10001,ENT-0800001,SW-NOC-120,2025-06-01,1739
USE-0900031,ACC-10001,ENT-0800001,SW-NOC-120,2025-07-01,1768
USE-0900032,ACC-10001,ENT-0800001,SW-NOC-120,2025-08-01,1797
USE-0900033,ACC-10001,ENT-0800001,SW-NOC-120,2025-09-01,1826
USE-0900034,ACC-10001,ENT-0800001,SW-NOC-120,2025-10-01,1855
USE-0900035,ACC-10001,ENT-0800001,SW-NOC-120,2025-11-01,1884
USE-0900036,ACC-10001,ENT-0800001,SW-NOC-120,2025-12-01,1912
USE-0900037,ACC-10001,ENT-0800001,SW-NOC-120,2026-01-01,1941
USE-0900038,ACC-10001,ENT-0800003,SW-ZTN-110,2023-01-01,300
USE-0900039,ACC-10001,ENT-0800003,SW-ZTN-110,2023-02-01,299
USE-0900040,ACC-10001,ENT-0800003,SW-ZTN-110,2023-03-01,298
USE-0900041,ACC-10001,ENT-0800003,SW-ZTN-110,2023-04-01,297
USE-0900042,ACC-10001,ENT-0800003,SW-ZTN-110,2023-05-01,295
USE-0900043,ACC-10001,ENT-0800003,SW-ZTN-110,2023-06-01,294
USE-0900044,ACC-10001,ENT-0800003,SW-ZTN-110,2023-07-01,293
USE-0900045,ACC-10001,ENT-0800003,SW-ZTN-110,2023-08-01,292
USE-0900046,ACC-10001,ENT-0800003,SW-ZTN-110,2023-09-01,291
USE-0900047,ACC-10001,ENT-0800003,SW-ZTN-110,2023-10-01,289
